Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-03-2020, M, 4.06, 11359660.00, 40.66
Andhra Pradesh, 30-04-2020, M, 16.29, 8792827.00, 36.03
Andhra Pradesh, 31-05-2020, M, 14.46, 9526902.00, 38.16
Andhra Pradesh, 30-06-2020, M, 0.85, 15572975.00, 53.76
Andhra Pradesh, 31-07-2020, M, 7.79, 11272862.00, 41.80
Andhra Pradesh, 31-08-2020, M, 5.84, 10762372.00, 39.04
Assam, 31-03-2020, M, 3.77, 9878742.00, 47.05
Assam, 31-05-2020, M, 9.38, 9926176.00, 50.00
Assam, 30-06-2020, M, 0.00, 7544937.00, 34.38
Assam, 31-07-2020, M, 3.37, 8676252.00, 40.83
Assam, 31-08-2020, M, 5.00, 8210150.00, 39.22
Bihar, 31-03-2020, M, 15.39, 22667882.00, 38.88
Bihar, 30-04-2020, M, 45.09, 14645275.00, 38.63
Bihar, 31-05-2020, M, 47.26, 14050319.00, 38.50
Bihar, 30-06-2020, M, 20.49, 20622566.00, 37.40
Bihar, 31-07-2020, M, 11.31, 21846860.00, 35.44
Bihar, 31-08-2020, M, 12.25, 21029375.00, 34.41
Chhattisgarh, 31-03-2020, M, 7.31, 6894808.00, 44.98
Chhattisgarh, 30-04-2020, M, 0.00, 6534321.00, 39.43
Chhattisgarh, 31-05-2020, M, 7.64, 5454091.00, 35.56
Chhattisgarh, 30-06-2020, M, 10.14, 5781095.00, 38.66
Chhattisgarh, 31-07-2020, M, 10.00, 6590978.00, 43.90
Chhattisgarh, 31-08-2020, M, 6.07, 6893482.00, 43.90
Delhi, 31-03-2020, M, 15.18, 152413.00, 37.45
Delhi, 30-04-2020, M, 20.69, 115487.00, 30.21
Delhi, 31-05-2020, M, 22.76, 129610.00, 34.65
Delhi, 30-06-2020, M, 21.14, 112108.00, 29.22
Delhi, 31-07-2020, M, 16.20, 142944.00, 34.89
Delhi, 31-08-2020, M, 20.00, 121757.00, 30.98
