Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-03-2020, M, 5.79, 15881197.00, 39.18
Andhra Pradesh, 30-04-2020, M, 20.51, 11336911.00, 33.10
Andhra Pradesh, 31-05-2020, M, 17.50, 12955258.00, 36.39
Andhra Pradesh, 30-06-2020, M, 2.10, 20527364.00, 48.53
Andhra Pradesh, 31-07-2020, M, 8.35, 15427762.00, 38.90
Andhra Pradesh, 31-08-2020, M, 6.96, 15251776.00, 37.83
Assam, 31-03-2020, M, 4.77, 11542888.00, 46.73
Assam, 30-04-2020, M, 11.06, 6830817.00, 29.55
Assam, 31-05-2020, M, 9.55, 11367897.00, 48.26
Assam, 30-06-2020, M, 0.60, 9095944.00, 35.07
Assam, 31-07-2020, M, 3.17, 10314353.00, 40.73
Assam, 31-08-2020, M, 5.53, 9781310.00, 39.52
Bihar, 31-03-2020, M, 15.43, 25717519.00, 38.69
Bihar, 30-04-2020, M, 46.64, 16046236.00, 38.17
Bihar, 31-05-2020, M, 46.16, 16257345.00, 38.25
Bihar, 30-06-2020, M, 19.52, 23747229.00, 37.30
Bihar, 31-07-2020, M, 12.19, 24869479.00, 35.72
Bihar, 31-08-2020, M, 13.44, 23795534.00, 34.59
Chhattisgarh, 31-03-2020, M, 7.54, 9302317.00, 45.59
Chhattisgarh, 30-04-2020, M, 3.41, 7600448.00, 35.58
Chhattisgarh, 31-05-2020, M, 11.29, 6730381.00, 34.22
Chhattisgarh, 30-06-2020, M, 14.45, 7383327.00, 38.85
Chhattisgarh, 31-07-2020, M, 8.98, 8536416.00, 42.12
Chhattisgarh, 31-08-2020, M, 5.63, 9050422.00, 42.97
Delhi, 31-03-2020, M, 17.04, 5553805.00, 42.65
Delhi, 30-04-2020, M, 16.68, 3119274.00, 23.80
Delhi, 31-05-2020, M, 44.92, 2473394.00, 28.47
Delhi, 30-06-2020, M, 18.19, 4418914.00, 34.17
Delhi, 31-07-2020, M, 20.30, 4291053.00, 33.97
Delhi, 31-08-2020, M, 13.79, 4850107.00, 35.41
Goa, 31-03-2020, M, 5.25, 411761.00, 33.88
Goa, 30-04-2020, M, 13.31, 500614.00, 44.97
Goa, 31-05-2020, M, 21.25, 378244.00, 37.36
Goa, 30-06-2020, M, 10.12, 486946.00, 42.09
Goa, 31-07-2020, M, 17.07, 458876.00, 42.94
Goa, 31-08-2020, M, 16.21, 473016.00, 43.76
Gujarat, 31-03-2020, M, 6.66, 23566641.00, 47.75
Gujarat, 30-04-2020, M, 18.71, 15288878.00, 35.50
Gujarat, 31-05-2020, M, 13.55, 17193900.00, 37.47
Gujarat, 30-06-2020, M, 2.82, 23818634.00, 46.09
Gujarat, 31-07-2020, M, 1.88, 24445096.00, 46.75
Gujarat, 31-08-2020, M, 1.87, 22817232.00, 43.55
Haryana, 31-03-2020, M, 25.05, 6641555.00, 39.63
Haryana, 30-04-2020, M, 43.22, 5647630.00, 44.38
Haryana, 31-05-2020, M, 35.73, 5927276.00, 41.06
Haryana, 30-06-2020, M, 33.57, 6661973.00, 44.56
Haryana, 31-07-2020, M, 24.48, 6707166.00, 39.38
Haryana, 31-08-2020, M, 33.50, 7113788.00, 47.32
Himachal Pradesh, 31-03-2020, M, 18.76, 2021858.00, 41.04
Himachal Pradesh, 30-04-2020, M, 2.20, 1131128.00, 19.04
Himachal Pradesh, 31-05-2020, M, 28.17, 1866918.00, 42.72
Himachal Pradesh, 30-06-2020, M, 2.10, 2454977.00, 41.15
Himachal Pradesh, 31-07-2020, M, 18.63, 2467398.00, 49.68
Himachal Pradesh, 31-08-2020, M, 15.79, 2029740.00, 39.42
Jammu & Kashmir, 31-03-2020, M, 15.50, 3359107.00, 38.18
Jammu & Kashmir, 31-05-2020, M, 5.22, 3654401.00, 36.88
Jammu & Kashmir, 30-06-2020, M, 17.92, 3202336.00, 37.24
Jammu & Kashmir, 31-07-2020, M, 11.24, 3534179.00, 37.92
Jammu & Kashmir, 31-08-2020, M, 11.09, 3429950.00, 36.66
Jharkhand, 31-03-2020, M, 8.23, 9638115.00, 39.34
Jharkhand, 30-04-2020, M, 47.09, 5335262.00, 37.69
Jharkhand, 31-05-2020, M, 59.23, 4145385.00, 37.92
Jharkhand, 30-06-2020, M, 20.98, 8619575.00, 40.59
Jharkhand, 31-07-2020, M, 8.77, 9500311.00, 38.66
Jharkhand, 31-08-2020, M, 9.76, 9331640.00, 38.31
Karnataka, 31-03-2020, M, 3.46, 22079653.00, 41.14
Karnataka, 30-04-2020, M, 29.84, 16718395.00, 42.78
Karnataka, 31-05-2020, M, 20.39, 19295587.00, 43.43
