Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 02-02-2020, W, 6.50, 284631772.00, 44.52
India, 09-02-2020, W, 8.34, 278592732.00, 44.43
India, 16-02-2020, W, 7.34, 278487720.00, 43.91
India, 23-02-2020, W, 7.39, 280827863.00, 44.28
India, 01-03-2020, W, 7.67, 271300579.00, 42.89
India, 08-03-2020, W, 7.02, 273546196.00, 42.93
India, 15-03-2020, W, 6.07, 282982779.00, 43.94
India, 22-03-2020, W, 8.29, 276216102.00, 43.91
India, 29-03-2020, W, 20.99, 220390394.00, 40.65
India, 05-04-2020, W, 20.21, 209987102.00, 38.33
India, 12-04-2020, W, 24.37, 193128505.00, 37.18
India, 19-04-2020, W, 26.69, 185213224.00, 36.77
India, 26-04-2020, W, 20.88, 202326010.00, 37.20
India, 03-05-2020, W, 26.16, 191669759.00, 37.74
India, 10-05-2020, W, 22.35, 213032672.00, 39.87
India, 17-05-2020, W, 22.79, 219951174.00, 41.39
India, 24-05-2020, W, 25.09, 206229314.00, 39.98
India, 31-05-2020, W, 17.92, 226120268.00, 39.99
India, 07-06-2020, W, 17.71, 228333236.00, 40.26
India, 14-06-2020, W, 10.96, 257266132.00, 41.90
India, 21-06-2020, W, 7.26, 279211441.00, 43.64
India, 28-06-2020, W, 7.62, 272431841.00, 42.73
India, 05-07-2020, W, 7.78, 267328283.00, 41.99
India, 12-07-2020, W, 6.34, 272383776.00, 42.10
India, 19-07-2020, W, 7.10, 276889428.00, 43.13
India, 26-07-2020, W, 7.66, 273104414.00, 42.78
India, 02-08-2020, W, 6.47, 269262260.00, 41.62
India, 09-08-2020, W, 8.37, 264304709.00, 41.69
India, 16-08-2020, W, 8.86, 275622104.00, 43.69
India, 23-08-2020, W, 6.32, 270105141.00, 41.63
India, 30-08-2020, W, 7.49, 256786108.00, 40.06
