Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 02-02-2020, W, 7.42, 412152746.00, 43.16
India, 09-02-2020, W, 8.52, 405774010.00, 42.99
India, 16-02-2020, W, 8.10, 407211495.00, 42.92
India, 23-02-2020, W, 7.42, 413010706.00, 43.20
India, 01-03-2020, W, 8.11, 398409779.00, 41.96
India, 08-03-2020, W, 7.71, 402077779.00, 42.14
India, 15-03-2020, W, 6.74, 407704814.00, 42.27
India, 22-03-2020, W, 8.41, 404074739.00, 42.64
India, 29-03-2020, W, 23.81, 309222043.00, 39.21
India, 05-04-2020, W, 23.38, 286463911.00, 36.10
India, 12-04-2020, W, 24.00, 279748657.00, 35.53
India, 19-04-2020, W, 26.19, 270729608.00, 35.39
India, 26-04-2020, W, 21.05, 289551903.00, 35.37
India, 03-05-2020, W, 27.11, 273606584.00, 36.18
India, 10-05-2020, W, 23.97, 296378009.00, 37.56
India, 17-05-2020, W, 24.01, 306498625.00, 38.84
India, 24-05-2020, W, 24.34, 304534963.00, 38.74
India, 31-05-2020, W, 20.19, 320739462.00, 38.67
India, 07-06-2020, W, 17.51, 336413808.00, 39.22
India, 14-06-2020, W, 11.63, 371294437.00, 40.39
India, 21-06-2020, W, 8.48, 399841530.00, 41.98
India, 28-06-2020, W, 8.59, 393631941.00, 41.36
India, 05-07-2020, W, 8.87, 383912197.00, 40.44
India, 12-07-2020, W, 7.44, 389419572.00, 40.37
India, 19-07-2020, W, 7.94, 400445989.00, 41.72
India, 26-07-2020, W, 8.21, 393544715.00, 41.10
India, 02-08-2020, W, 7.19, 391767904.00, 40.45
India, 09-08-2020, W, 8.67, 387305536.00, 40.62
India, 16-08-2020, W, 9.10, 400876271.00, 42.22
India, 23-08-2020, W, 7.46, 391568017.00, 40.49
India, 30-08-2020, W, 8.13, 379717207.00, 39.53
