Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 02-02-2020, W, 9.39, 127520973.00, 40.50
India, 09-02-2020, W, 8.90, 127181278.00, 40.15
India, 16-02-2020, W, 9.68, 128723775.00, 40.97
India, 23-02-2020, W, 7.49, 132182843.00, 41.06
India, 01-03-2020, W, 9.04, 127109199.00, 40.13
India, 08-03-2020, W, 9.13, 128531583.00, 40.60
India, 15-03-2020, W, 8.21, 124722035.00, 38.99
India, 22-03-2020, W, 8.66, 127858637.00, 40.14
India, 29-03-2020, W, 30.01, 88831649.00, 36.38
India, 05-04-2020, W, 30.93, 76476809.00, 31.72
India, 12-04-2020, W, 23.17, 86620152.00, 32.28
India, 19-04-2020, W, 25.08, 85516383.00, 32.67
India, 26-04-2020, W, 21.45, 87225893.00, 31.77
India, 03-05-2020, W, 29.22, 81936825.00, 33.10
India, 10-05-2020, W, 27.83, 83345337.00, 33.00
India, 17-05-2020, W, 26.95, 86547451.00, 33.84
India, 24-05-2020, W, 22.72, 98305649.00, 36.32
India, 31-05-2020, W, 25.14, 94619193.00, 36.07
India, 07-06-2020, W, 17.08, 108080572.00, 37.18
India, 14-06-2020, W, 13.10, 114028305.00, 37.41
India, 21-06-2020, W, 11.19, 120630089.00, 38.70
India, 28-06-2020, W, 10.69, 121200100.00, 38.65
India, 05-07-2020, W, 11.26, 116583914.00, 37.40
India, 12-07-2020, W, 9.92, 117035796.00, 36.97
India, 19-07-2020, W, 9.78, 123556560.00, 38.95
India, 26-07-2020, W, 9.43, 120440300.00, 37.80
India, 02-08-2020, W, 8.73, 122505645.00, 38.14
India, 09-08-2020, W, 9.31, 123000827.00, 38.52
India, 16-08-2020, W, 9.61, 125254167.00, 39.33
India, 23-08-2020, W, 9.89, 121462876.00, 38.24
India, 30-08-2020, W, 9.43, 122931098.00, 38.49
